hcpid,zip,calls
HCP00225,58001,9
HCP00226,38603,14
HCP00227,85002,22
HCP00228,43002,21
HCP00229,12001,24
HCP00230,66002,40
HCP00231,75006,19
HCP00232,73001,55
HCP00233,98101,27
HCP00234,63001,25
HCP00235,59003,44
HCP00236,33125,50
HCP00237,19104,51
HCP00238,75006,8
HCP00239,01002,31
HCP00240,30303,60
HCP00241,46003,18
HCP00242,33127,6
HCP00243,87001,41
HCP00244,75001,21
HCP00245,19102,11
HCP00246,75006,46
HCP00247,08001,31
HCP00248,19703,44
HCP00249,30301,41
HCP00250,94104,43
HCP00251,16822,29
HCP00252,90211,10
HCP00253,94103,39
HCP00254,20101,45
HCP00255,19701,39
HCP00256,94105,36
HCP00257,60003,25
HCP00258,29003,53
HCP00259,45202,19
HCP00260,19102,57
HCP00261,83201,30
HCP00262,50001,9
HCP00263,68001,40
HCP00264,10003,55
HCP00265,59002,19
HCP00266,04003,34
HCP00267,55002,33
HCP00268,63001,45
HCP00269,33125,55
HCP00270,45203,56
HCP00271,33125,33
HCP00272,98002,54
HCP00273,37010,36
HCP00274,40006,45
HCP00275,19703,51
HCP00276,06002,11
HCP00277,10003,50
HCP00278,87004,35
HCP00279,75006,56
HCP00280,53003,59
HCP00281,35006,46
HCP00282,20001,32
HCP00283,90002,5
HCP00284,46003,47
HCP00285,99502,43
HCP00286,29001,36
HCP00287,71602,34
HCP00288,80002,57
HCP00289,08001,5
HCP00290,53002,35
HCP00291,43002,57
HCP00292,94103,12
HCP00293,97001,31
HCP00294,29002,52
HCP00295,33126,42
HCP00296,32004,57
HCP00297,53003,53
HCP00298,10003,16
HCP00299,30004,6
HCP00300,20602,45
HCP00301,68001,35
HCP00302,06001,33
HCP00303,59001,30
HCP00304,88904,21
HCP00305,30303,60
HCP00306,19104,24
HCP00307,75001,38
HCP00308,40004,27
HCP00309,35005,26
HCP00310,35005,21
HCP00311,16822,16
HCP00312,29001,35
HCP00313,58002,30
HCP00314,29001,20
HCP00315,03031,9
HCP00316,20102,6
HCP00317,80003,41
HCP00318,05002,44
HCP00319,68001,33
HCP00320,82003,54
HCP00321,43002,17
HCP00322,73003,25
HCP00323,88901,7
HCP00324,87004,38
HCP00325,02103,5
HCP00326,37011,6
HCP00327,30303,45
HCP00328,87004,24
HCP00329,68002,8
HCP00330,03031,37
HCP00331,29001,59
HCP00332,27006,39
HCP00333,50003,9
HCP00334,57002,44
HCP00335,45203,32
HCP00336,98103,31
HCP00337,05002,29
HCP00338,20102,14
HCP00339,08001,35
HCP00340,99501,5
HCP00341,30302,21
HCP00342,40004,8
HCP00343,80001,8
HCP00344,35004,7
HCP00345,04002,38
HCP00346,59003,46
HCP00347,66002,19
HCP00348,90003,30
HCP00349,73002,12
HCP00350,37011,58
HCP00351,97002,9
HCP00352,45203,36
HCP00353,80003,42
HCP00354,55001,19
HCP00355,55001,18
HCP00356,38602,29
HCP00357,60601,9
HCP00358,59002,33
HCP00359,33126,32
HCP00360,58001,52
HCP00361,07003,21
HCP00362,05002,17
HCP00363,84002,16
HCP00364,12004,43
HCP00365,45202,21
HCP00366,90212,28
HCP00367,53003,18
HCP00368,02101,11
HCP00369,03031,20
HCP00370,16822,23
HCP00371,71602,34
HCP00372,27006,55
HCP00373,10003,54
HCP00374,02103,13
HCP00375,32006,40
HCP00376,10003,12
HCP00377,02103,47
HCP00378,53002,40
HCP00379,98002,17
HCP00380,12001,21
HCP00381,02102,33
HCP00382,60003,50
HCP00383,07003,33
HCP00384,50003,22
HCP00385,85003,41
HCP00386,19103,8
HCP00387,12002,27
HCP00388,99503,15
HCP00389,71602,43
HCP00390,71603,29
HCP00391,80002,52
HCP00392,01002,25
HCP00393,10002,25
HCP00394,35004,50
HCP00395,10004,60
HCP00396,84002,56
HCP00397,83201,27
HCP00398,87001,42
HCP00399,59003,15
HCP00400,50001,59
HCP00401,40006,7
HCP00402,03031,33
HCP00403,60601,13
HCP00404,82003,56
HCP00405,03032,56
HCP00406,10001,23
HCP00407,04001,8
HCP00408,08003,36
HCP00409,46001,26
HCP00410,68002,12
HCP00411,58001,41
HCP00412,45201,40
HCP00413,77001,43
HCP00414,87002,15
HCP00415,12002,56
HCP00416,16821,18
HCP00417,01003,43
HCP00418,99501,30
HCP00419,40006,22
HCP00420,35005,57
HCP00421,33127,26
HCP00422,50002,46
HCP00423,24702,36
HCP00424,57001,51
HCP00425,63005,43
HCP00426,06002,19
HCP00427,20602,49
HCP00428,01001,21
HCP00429,43001,37
HCP00430,16820,44
HCP00431,12001,49
HCP00432,85003,13
HCP00433,57003,26
HCP00434,80003,52
HCP00435,68003,39
HCP00436,19703,42
HCP00437,48003,34
HCP00438,99502,6
HCP00439,66006,29
HCP00440,19701,10
HCP00441,35005,20
HCP00442,82003,40
HCP00443,02802,59
HCP00444,66006,5
HCP00445,80003,9
HCP00446,71603,28
HCP00447,96701,35
HCP00448,83201,20
HCP00449,19104,5
HCP00450,98102,28
HCP00451,08002,5
HCP00452,68003,33
HCP00453,97002,60
HCP00454,60602,53
HCP00455,19701,31
HCP00456,46002,36
HCP00457,43002,45
HCP00458,10004,39
HCP00459,68002,44
HCP00460,94102,30
HCP00461,97001,47
HCP00462,94103,41
HCP00463,24702,48
HCP00464,98103,25
HCP00465,80002,28
HCP00466,80001,29
HCP00467,83203,43
HCP00468,46003,17
HCP00469,98001,42
HCP00470,84003,15
HCP00471,20002,28
HCP00472,96703,53
HCP00473,53003,28
HCP00474,59003,49
HCP00475,29001,23
HCP00476,38602,15
HCP00477,06002,20
HCP00478,96704,53
HCP00479,73003,25
HCP00480,20003,32
HCP00481,06002,7
HCP00482,02802,38
HCP00483,94102,32
HCP00484,07002,18
HCP00485,38602,19
HCP00486,82002,25
HCP00487,97003,57
HCP00488,10002,24
HCP00489,97001,18
HCP00490,80002,42
HCP00491,40004,54
HCP00492,37011,46
HCP00493,48002,50
HCP00494,88902,6
HCP00495,73001,57
HCP00496,99503,55
HCP00497,80002,14
HCP00498,80002,44
HCP00499,35005,33
HCP00500,06002,42
HCP00501,04002,41
HCP00502,97002,40
HCP00503,60001,35
HCP00504,84002,33
HCP00505,16822,14
HCP00506,35005,21
HCP00507,90211,35
HCP00508,16822,49
HCP00509,50002,53
HCP00510,50003,43
HCP00511,97001,18
HCP00512,01001,35
HCP00513,16821,55
HCP00514,07002,7
HCP00515,84001,33
HCP00516,02802,15
HCP00517,40003,54
HCP00518,73001,24
HCP00519,07001,55
HCP00520,84002,25
HCP00521,24702,6
HCP00522,98103,22
HCP00523,84002,17
HCP00524,63002,50
HCP00525,77001,42
HCP00526,73001,42
HCP00527,98001,19
HCP00528,90210,6
HCP00529,46001,20
HCP00530,70003,25
HCP00531,19703,48
HCP00532,57003,11
HCP00533,48002,44
HCP00534,53002,42
HCP00535,30302,39
HCP00536,02103,26
HCP00537,20602,11
HCP00538,20103,9
HCP00539,04001,58
HCP00540,20001,16
HCP00541,35005,5
HCP00542,60602,56
HCP00543,24701,36
HCP00544,98102,39
HCP00545,27007,48
HCP00546,53001,31
HCP00547,75002,31
HCP00548,84003,54
HCP00549,20603,15
HCP00550,40006,10
HCP00551,32004,41
HCP00552,40003,12
HCP00553,32003,48
HCP00554,70001,36
HCP00555,32004,23
HCP00556,55002,21
HCP00557,50002,42
HCP00558,45203,5
HCP00559,38603,31
HCP00560,88904,34
HCP00561,45202,13
HCP00562,01001,23
HCP00563,83202,6
HCP00564,02101,44
HCP00565,58003,25
HCP00566,20603,20
HCP00567,33125,26
HCP00568,99502,24
HCP00569,20103,54
HCP00570,46002,50
HCP00571,55002,47
HCP00572,29002,44
HCP00573,88902,41
HCP00574,98002,27
HCP00575,77003,35
HCP00576,58003,27
HCP00577,90003,25
HCP00578,59001,22
HCP00579,20602,20
HCP00580,58002,14
HCP00581,55001,56
HCP00582,10003,17
HCP00583,80001,41
HCP00584,02804,38
HCP00585,40006,24
HCP00586,94105,19
HCP00587,83201,57
HCP00588,98101,6
HCP00589,03032,58
HCP00590,55003,49
HCP00591,88902,40
HCP00592,48003,6
HCP00593,88901,37
HCP00594,03033,40
HCP00595,96701,6
HCP00596,20103,28
HCP00597,97002,49
HCP00598,75001,32
HCP00599,88902,58
HCP00600,53003,25
HCP00601,58003,12
HCP00602,80003,38
HCP00603,55003,55
HCP00604,27007,14
HCP00605,33127,24
HCP00606,77002,52
HCP00607,90003,29
HCP00608,94102,5
HCP00609,60603,15
HCP00610,07003,53
HCP00611,03033,19
HCP00612,80003,24
HCP00613,43001,39
HCP00614,94104,50
HCP00615,40004,59
HCP00616,83201,16
HCP00617,90210,5
HCP00618,58002,51
HCP00619,68002,46
HCP00620,53001,58
HCP00621,08003,42
HCP00622,20002,27
HCP00623,50001,58
HCP00624,90001,56
HCP00625,07002,14
HCP00626,43003,16
HCP00627,71602,38
HCP00628,99502,10
HCP00629,32006,21
HCP00630,10002,48
HCP00631,63002,5
HCP00632,48001,60
HCP00633,99502,22
HCP00634,29003,58
HCP00635,98003,32
HCP00636,40003,60
HCP00637,29001,41
HCP00638,24702,38
HCP00639,99502,59
HCP00640,90211,25
HCP00641,05009,59
HCP00642,98001,21
HCP00643,29003,31
HCP00644,68002,43
HCP00645,05001,24
HCP00646,88904,39
HCP00647,60602,26
HCP00648,16822,43
HCP00649,99502,29
HCP00650,75001,39
HCP00651,94102,47
HCP00652,05001,44
HCP00653,12002,14
HCP00654,37010,32
HCP00655,90003,35
HCP00656,60003,8
HCP00657,33127,24
HCP00658,90001,5
HCP00659,32006,20
HCP00660,06002,46
HCP00661,10002,33
HCP00662,96704,24
HCP00663,68002,19
HCP00664,75006,32
HCP00665,90003,14
HCP00666,96701,50
HCP00667,98001,16
HCP00668,05002,49
HCP00669,30303,29
HCP00670,60001,12
HCP00671,48001,47
HCP00672,24702,28
HCP00673,38602,37
HCP00674,82003,43
HCP00675,43003,18
HCP00676,70002,6
HCP00677,90211,54
HCP00678,84002,13
HCP00679,90211,60
HCP00680,48003,19
HCP00681,35005,27
HCP00682,05009,14
HCP00683,98102,38
HCP00684,73002,15
HCP00685,38603,21
HCP00686,73003,10
HCP00687,60001,38
HCP00688,68003,32
HCP00689,20601,50
HCP00690,88901,6
HCP00691,48001,50
HCP00692,53002,26
HCP00693,98102,32
HCP00694,20103,18
HCP00695,73003,53
HCP00696,88904,15
HCP00697,30002,33
HCP00698,43003,41
HCP00699,99503,44
HCP00700,63001,5
HCP00701,75006,29
HCP00702,07001,24
HCP00703,59002,60
HCP00704,30003,16
HCP00705,24702,31
HCP00706,57001,30
HCP00707,08002,5
HCP00708,70003,59
HCP00709,46003,42
HCP00710,63002,42
HCP00711,63001,19
HCP00712,07001,58
HCP00713,60001,20
HCP00714,19103,13
HCP00715,27008,9
HCP00716,77003,48
HCP00717,06001,60
HCP00718,68002,23
HCP00719,82002,42
HCP00720,90001,19
HCP00721,83201,9
HCP00722,70002,47
HCP00723,33127,35
HCP00724,84001,49
HCP00725,43001,16
HCP00726,03031,34
HCP00727,90002,53
HCP00728,77002,45
HCP00729,80003,51
HCP00730,53003,12
HCP00731,75006,29
HCP00732,20003,11
HCP00733,33126,34
HCP00734,27007,11
HCP00735,30003,57
HCP00736,38603,51
HCP00737,38601,21
HCP00738,03031,6
HCP00739,90211,40
HCP00740,75001,5
HCP00741,94104,20
HCP00742,59003,35
HCP00743,02101,56
HCP00744,98002,25
HCP00745,24712,55
HCP00746,94105,42
HCP00747,03033,42
HCP00748,90002,46
HCP00749,60601,6
HCP00750,40003,56
HCP00751,83202,58
HCP00752,77003,24
HCP00753,16822,42
HCP00754,90210,39
HCP00755,53002,37
HCP00756,10003,45
HCP00757,90001,56
HCP00758,80001,32
HCP00759,73001,55
HCP00760,80002,59
HCP00761,43003,43
HCP00762,71603,32
HCP00763,37010,14
HCP00764,19104,58
HCP00765,75002,20
HCP00766,83203,26
HCP00767,68001,38
HCP00768,19702,39
HCP00769,66006,55
HCP00770,45202,24
HCP00771,38601,20
HCP00772,71601,48
HCP00773,97002,5
HCP00774,20101,51
HCP00775,33127,21
HCP00776,45202,24
HCP00777,24701,28
HCP00778,07003,40
HCP00779,75006,33
HCP00780,80003,26
HCP00781,48003,32
HCP00782,98003,29
HCP00783,02102,53
HCP00784,03033,13
HCP00785,46001,25
HCP00786,99503,36
HCP00787,12002,44
HCP00788,10004,21
HCP00789,30003,17
HCP00790,98001,13
HCP00791,20002,19
HCP00792,04002,38
HCP00793,37012,36
HCP00794,16820,18
HCP00795,59001,17
HCP00796,38602,20
HCP00797,53001,6
HCP00798,02802,54
HCP00799,71603,48
HCP00800,20002,29
HCP00801,82002,59
HCP00802,01003,55
HCP00803,48001,41
HCP00804,87001,34
HCP00805,60601,41
HCP00806,80003,33
HCP00807,19703,9
HCP00808,94104,16
HCP00809,06002,42
HCP00810,38602,50
HCP00811,55002,11
HCP00812,90210,51
HCP00813,12004,38
HCP00814,07001,54
HCP00815,08001,26
HCP00816,06001,28
HCP00817,60603,8
HCP00818,08002,25
HCP00819,24702,8
HCP00820,46001,17
HCP00821,97002,33
HCP00822,60602,26
HCP00823,02101,57
HCP00824,96701,16
HCP00825,70002,33
HCP00826,97003,28
HCP00827,05009,38
HCP00828,58003,30
HCP00829,75001,28
HCP00830,35006,9
HCP00831,98001,57
HCP00832,98101,59
HCP00833,20102,6
HCP00834,83203,49
HCP00835,38603,7
HCP00836,99502,8
HCP00837,66006,9
HCP00838,07001,11
HCP00839,12001,5
HCP00840,70002,11
HCP00841,03032,47
HCP00842,99501,11
HCP00843,83202,10
HCP00844,80001,33
HCP00845,57003,7
HCP00846,68002,57
HCP00847,60603,20
HCP00848,90212,20
HCP00849,85002,40
HCP00850,63002,52
HCP00851,19702,56
HCP00852,98103,5
HCP00853,84001,42
HCP00854,83203,55
HCP00855,20102,32
HCP00856,94103,59
HCP00857,33127,19
HCP00858,19102,19
HCP00859,71602,41
HCP00860,05002,55
HCP00861,66003,36
HCP00862,38603,32
HCP00863,88902,14
HCP00864,43001,10
HCP00865,06002,51
HCP00866,27008,5
HCP00867,30003,54
HCP00868,19703,44
HCP00869,97003,60
HCP00870,45202,32
HCP00871,90001,36
HCP00872,27007,35
HCP00873,40004,43
HCP00874,83203,56
HCP00875,85002,56
HCP00876,20102,36
HCP00877,66003,47
HCP00878,99502,30
HCP00879,90001,31
HCP00880,90002,38
HCP00881,98102,44
HCP00882,40003,18
HCP00883,40006,17
HCP00884,66003,42
HCP00885,16821,37
HCP00886,20102,51
HCP00887,48002,30
HCP00888,48002,39
HCP00889,45201,48
HCP00890,06003,40
HCP00891,57001,35
HCP00892,82001,45
HCP00893,20101,44
HCP00894,80003,36
HCP00895,88902,18
HCP00896,08002,48
HCP00897,55003,18
HCP00898,94103,60
HCP00899,96704,49
HCP00900,33126,46
HCP00901,88901,32
HCP00902,83201,60
HCP00903,53002,54
HCP00904,12001,6
HCP00905,20001,15
HCP00906,20002,9
HCP00907,88901,51
HCP00908,90210,58
HCP00909,88904,26
HCP00910,19702,51
HCP00911,97003,16
HCP00912,07003,14
HCP00913,07002,31
HCP00914,50001,17
HCP00915,53003,51
HCP00916,38603,14
HCP00917,71601,33
HCP00918,33127,57
HCP00919,45203,34
HCP00920,58001,21
HCP00921,01001,16
HCP00922,85002,46
HCP00923,98103,15
HCP00924,40006,28
HCP00925,77002,23
HCP00926,30301,58
HCP00927,37012,42
HCP00928,60001,58
HCP00929,87002,47
HCP00930,50003,39
HCP00931,08001,35
HCP00932,32004,34
HCP00933,75001,11
HCP00934,06002,39
HCP00935,35005,22
HCP00936,46003,19
HCP00937,06001,12
HCP00938,45202,22
HCP00939,59003,52
HCP00940,99501,51
HCP00941,04001,36
HCP00942,58001,12
HCP00943,32004,58
HCP00944,57003,11
HCP00945,01003,51
HCP00946,45201,56
HCP00947,20602,43
HCP00948,99501,18
HCP00949,12001,17
HCP00950,71601,5
HCP00951,20002,47
HCP00952,12001,25
HCP00953,55001,46
HCP00954,10003,16
HCP00955,59002,34
HCP00956,82001,22
HCP00957,07001,38
HCP00958,57003,31
HCP00959,19701,57
HCP00960,46002,45
HCP00961,87004,22
HCP00962,45203,14
HCP00963,58003,52
HCP00964,12001,26
HCP00965,94104,21
HCP00966,94104,28
HCP00967,58002,17
HCP00968,59001,35
HCP00969,55003,52
HCP00970,66003,39
HCP00971,68002,35
HCP00972,84002,7
HCP00973,68003,18
HCP00974,63001,51
HCP00975,98003,33
HCP00976,27006,60
HCP00977,06003,28
HCP00978,01001,32
HCP00979,29002,6
HCP00980,10003,30
HCP00981,59002,33
HCP00982,20601,60
HCP00983,35004,8
HCP00984,98101,40
HCP00985,40004,12
HCP00986,97002,7
HCP00987,60003,34
HCP00988,96701,43
HCP00989,90211,42
HCP00990,33125,23
HCP00991,37012,44
HCP00992,20002,5
HCP00993,16821,32
HCP00994,19703,16
HCP00995,63005,11
HCP00996,30302,31
HCP00997,75001,37
HCP00998,33127,31
HCP00999,84001,27
HCP01000,20601,37
HCP01001,03031,26
HCP01002,80002,29
HCP01003,70003,29
HCP01004,38603,43
HCP01005,85001,46
HCP01006,96704,50
HCP01007,88904,48
HCP01008,77002,56
HCP01009,98101,14
HCP01010,77002,12
HCP01011,58001,53
HCP01012,68002,34
HCP01013,60603,49
HCP01014,37011,10
HCP01015,75006,6
HCP01016,60001,60
HCP01017,58001,36
HCP01018,94102,8
HCP01019,40006,25
HCP01020,10002,51
HCP01021,60601,5
HCP01022,07001,32
HCP01023,37012,55
HCP01024,50003,35
HCP01025,60603,18
HCP01026,80001,7
HCP01027,85002,5
HCP01028,59002,49
HCP01029,12004,31
HCP01030,03032,56
HCP01031,53002,14
HCP01032,97002,58
HCP01033,05009,34
HCP01034,10004,57
HCP01035,63002,8
HCP01036,43003,43
HCP01037,02802,37
HCP01038,32003,15
HCP01039,04002,29
HCP01040,60601,10
HCP01041,03032,46
HCP01042,73002,46
HCP01043,87004,5
HCP01044,24712,50
HCP01045,19702,45
HCP01046,80002,19
HCP01047,06001,5
HCP01048,10001,14
HCP01049,60001,11
HCP01050,66003,40
HCP01051,73001,23
HCP01052,01001,38
HCP01053,38602,28
HCP01054,96701,53
HCP01055,02101,16
HCP01056,60001,32
HCP01057,19103,23
HCP01058,60001,30
HCP01059,68001,7
HCP01060,82003,57
HCP01061,94103,8
HCP01062,08002,53
HCP01063,04002,43
HCP01064,96701,20
HCP01065,27007,43
HCP01066,32003,20
HCP01067,02802,51
HCP01068,87004,20
HCP01069,29003,30
HCP01070,60601,5
HCP01071,06003,50
HCP01072,71602,40
HCP01073,50001,55
HCP01074,98101,37
HCP01075,38603,58
HCP01076,02101,52
HCP01077,71602,45
HCP01078,40006,30
HCP01079,01001,17
HCP01080,94104,42
HCP01081,94105,41
HCP01082,46002,14
HCP01083,20603,15
HCP01084,20103,59
HCP01085,33125,30
HCP01086,19102,54
HCP01087,20003,5
HCP01088,77003,46
HCP01089,32006,60
HCP01090,27006,7
HCP01091,77002,24
HCP01092,43002,7
HCP01093,30303,34
HCP01094,35005,51
HCP01095,03031,36
HCP01096,35004,43
HCP01097,83203,8
HCP01098,80003,22
HCP01099,45203,36
HCP01100,98001,26
HCP01101,97002,39
HCP01102,05009,21
HCP01103,59002,7
HCP01104,88901,59
HCP01105,99502,20
HCP01106,20001,10
HCP01107,88904,25
HCP01108,84001,31
HCP01109,87001,26
HCP01110,04003,39
HCP01111,30004,7
HCP01112,12002,54
HCP01113,98102,51
HCP01114,33126,43
HCP01115,68003,58
HCP01116,37010,7
HCP01117,19702,9
HCP01118,83201,14
HCP01119,45203,48
HCP01120,88902,15
HCP01121,75006,34
HCP01122,12001,16
HCP01123,60002,46
HCP01124,90211,13
HCP01125,77003,55
HCP01126,27008,50
HCP01127,63001,7
HCP01128,99502,34
HCP01129,96704,57
HCP01130,70003,19
HCP01131,94103,27
HCP01132,82003,26
HCP01133,68002,45
HCP01134,24712,38
HCP01135,63002,37
HCP01136,99502,30
HCP01137,05001,47
HCP01138,55002,33
HCP01139,04002,27
HCP01140,38603,22
HCP01141,24701,42
HCP01142,19701,15
HCP01143,48003,24
HCP01144,06003,35
HCP01145,90001,41
HCP01146,99503,38
HCP01147,83202,25
HCP01148,50002,36
HCP01149,88901,39
HCP01150,38601,48
HCP01151,06003,43
HCP01152,04002,52
HCP01153,99503,13
HCP01154,32003,54
HCP01155,30303,21
HCP01156,84003,10
HCP01157,02801,10
HCP01158,30301,11
HCP01159,24702,16
HCP01160,82001,10
HCP01161,85003,60
HCP01162,19103,19
HCP01163,90211,37
HCP01164,98103,41
HCP01165,30002,47
HCP01166,02101,36
HCP01167,63002,47
HCP01168,90212,11
HCP01169,10004,60
HCP01170,60601,52
HCP01171,27008,20
HCP01172,94102,16
HCP01173,30302,14
HCP01174,02804,28
HCP01175,60601,12
HCP01176,53003,51
HCP01177,07003,44
HCP01178,82002,36
HCP01179,50002,55
HCP01180,97001,30
HCP01181,33127,17
HCP01182,58001,44
HCP01183,88904,44
HCP01184,88901,8
HCP01185,48003,37
HCP01186,03032,9
HCP01187,55002,22
HCP01188,75002,6
HCP01189,08001,45
HCP01190,66002,10
HCP01191,94103,44
HCP01192,48003,41
HCP01193,38601,46
HCP01194,20103,28
HCP01195,85003,56
HCP01196,10002,32
HCP01197,63002,13
HCP01198,50003,39
HCP01199,32006,51
HCP01200,01001,60
HCP01201,75001,27
HCP01202,16821,30
HCP01203,53002,42
HCP01204,90212,31
HCP01205,90211,49
HCP01206,38603,40
HCP01207,77001,55
HCP01208,35006,25
HCP01209,94103,16
HCP01210,03031,45
HCP01211,16821,24
HCP01212,32006,33
HCP01213,87001,57
HCP01214,80001,9
HCP01215,75001,28
HCP01216,90211,11
HCP01217,48002,52
HCP01218,82001,34
HCP01219,08001,8
HCP01220,48002,50
HCP01221,99502,47
HCP01222,30302,35
HCP01223,88901,21
HCP01224,20001,38
HCP01225,98103,5
HCP01226,10003,26
HCP01227,27008,57
HCP01228,30002,18
HCP01229,75006,18
HCP01230,60001,35
HCP01231,98002,58
HCP01232,77001,25
HCP01233,43003,28
HCP01234,55003,53
HCP01235,94102,59
HCP01236,90002,26
HCP01237,35006,47
HCP01238,97002,35
HCP01239,16822,11
HCP01240,40006,44
HCP01241,98102,27
HCP01242,68002,41
HCP01243,97002,59
HCP01244,80003,57
HCP01245,73003,34
HCP01246,07001,45
HCP01247,83202,44
HCP01248,99501,39
HCP01249,12004,23
HCP01250,19701,48
HCP01251,08001,23
HCP01252,96704,23
HCP01253,30003,37
HCP01254,98103,35
HCP01255,07002,36
HCP01256,73001,24
HCP01257,85001,24
HCP01258,38603,43
HCP01259,73002,49
HCP01260,20602,28
HCP01261,46001,9
HCP01262,07003,12
HCP01263,88904,41
HCP01264,84001,35
HCP01265,84002,18
HCP01266,08002,24
HCP01267,97002,18
HCP01268,19104,16
HCP01269,40006,16
HCP01270,83203,38
